,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,timestamp,total_wins,total_losses,win_percentage,total_ties,loss_percentage,tie_percentage,seed,total_cost,sequential_agent_class,total_time
390,base_llm_gpt35,0.2,5.0,2025-02-16_20-08-15,95.0,99.0,0.3166666666666666,106.0,0.33,0.3533333333333333,4.0,0.4607,W_up_L_down_T_stay,3.0
391,base_llm_gpt35,0.2,5.0,2025-02-16_20-11-18,99.0,90.0,0.33,111.0,0.3,0.37,5.0,0.4602,W_up_L_down_T_stay,2.9
392,base_llm_gpt35,0.2,5.0,2025-02-16_20-14-15,99.0,96.0,0.33,105.0,0.32,0.35,6.0,0.4607,W_up_L_down_T_stay,2.8
393,base_llm_gpt35,0.2,5.0,2025-02-16_20-17-07,102.0,94.0,0.34,104.0,0.3133333333333333,0.3466666666666667,7.0,0.4606,W_up_L_down_T_stay,2.9
394,base_llm_llama3,0.2,5.0,2025-02-16_20-06-49,49.0,230.0,0.1633333333333333,21.0,0.7666666666666667,0.07,0.0,0.0,self_transition_down,15.1
395,base_llm_gpt35,0.2,5.0,2025-02-16_20-20-02,96.0,97.0,0.32,107.0,0.3233333333333333,0.3566666666666667,8.0,0.4607,W_up_L_down_T_stay,2.7
396,base_llm_gpt35,0.2,5.0,2025-02-16_20-22-48,108.0,88.0,0.36,104.0,0.2933333333333333,0.3466666666666667,9.0,0.4606,W_up_L_down_T_stay,2.8
397,base_llm_gpt35,0.2,5.0,2025-02-16_20-25-38,140.0,15.0,0.4666666666666667,145.0,0.05,0.4833333333333333,3.0,0.4569,opponent_transition_up,2.8
398,base_llm_gpt35,0.2,5.0,2025-02-16_20-28-25,134.0,22.0,0.4466666666666666,144.0,0.0733333333333333,0.48,4.0,0.457,opponent_transition_up,2.8
399,base_llm_gpt35,0.2,5.0,2025-02-16_20-31-17,126.0,22.0,0.42,152.0,0.0733333333333333,0.5066666666666667,5.0,0.457,opponent_transition_up,3.6
400,base_llm_llama3,0.2,5.0,2025-02-16_20-21-57,47.0,225.0,0.1566666666666666,28.0,0.75,0.0933333333333333,1.0,0.0,self_transition_down,15.0
401,base_llm_gpt35,0.2,5.0,2025-02-16_20-34-54,142.0,23.0,0.4733333333333333,135.0,0.0766666666666666,0.45,6.0,0.4568,opponent_transition_up,2.7
402,base_llm_gpt35,0.2,5.0,2025-02-16_20-37-38,131.0,16.0,0.4366666666666666,153.0,0.0533333333333333,0.51,7.0,0.4569,opponent_transition_up,2.9
403,base_llm_gpt35,0.2,5.0,2025-02-16_20-40-33,124.0,16.0,0.4133333333333333,160.0,0.0533333333333333,0.5333333333333333,8.0,0.4571,opponent_transition_up,2.8
404,base_llm_gpt35,0.2,5.0,2025-02-16_20-43-23,128.0,17.0,0.4266666666666667,155.0,0.0566666666666666,0.5166666666666667,9.0,0.4567,opponent_transition_up,2.9
405,base_llm_gpt35,0.2,5.0,2025-02-16_20-46-16,118.0,62.0,0.3933333333333333,120.0,0.2066666666666666,0.4,3.0,0.4595,self_transition_up,2.8
406,base_llm_gpt35,0.2,5.0,2025-02-16_20-49-06,111.0,63.0,0.37,126.0,0.21,0.42,4.0,0.4598,self_transition_up,2.7
407,base_llm_llama3,0.2,5.0,2025-02-16_20-36-56,17.0,255.0,0.0566666666666666,28.0,0.85,0.0933333333333333,2.0,0.0,self_transition_down,14.9
408,base_llm_gpt35,0.2,5.0,2025-02-16_20-51-47,138.0,61.0,0.46,101.0,0.2033333333333333,0.3366666666666666,5.0,0.4598,self_transition_up,2.8
409,base_llm_gpt35,0.2,5.0,2025-02-16_20-54-38,119.0,66.0,0.3966666666666666,115.0,0.22,0.3833333333333333,6.0,0.4597,self_transition_up,2.8
410,base_llm_gpt35,0.2,5.0,2025-02-16_20-57-29,125.0,59.0,0.4166666666666667,116.0,0.1966666666666666,0.3866666666666666,7.0,0.46,self_transition_up,3.2
411,base_llm_gpt35,0.2,5.0,2025-02-16_21-00-44,138.0,53.0,0.46,109.0,0.1766666666666666,0.3633333333333333,8.0,0.4598,self_transition_up,2.8
412,base_llm_gpt35,0.2,5.0,2025-02-16_21-03-35,111.0,67.0,0.37,122.0,0.2233333333333333,0.4066666666666667,9.0,0.4596,self_transition_up,2.8
413,base_llm_llama3,0.2,5.0,2025-02-16_20-51-52,35.0,227.0,0.1166666666666666,38.0,0.7566666666666667,0.1266666666666666,0.0,0.0,prev_outcome_prev_transition,14.8
414,base_llm_gpt35,0.2,5.0,2025-02-16_21-06-25,90.0,126.0,0.3,84.0,0.42,0.28,3.0,0.4599,self_transition_down,3.0
415,base_llm_gpt35,0.2,5.0,2025-02-16_21-09-24,106.0,135.0,0.3533333333333333,59.0,0.45,0.1966666666666666,4.0,0.4595,self_transition_down,2.9
416,base_llm_gpt35,0.2,5.0,2025-02-16_21-12-19,99.0,131.0,0.33,70.0,0.4366666666666666,0.2333333333333333,5.0,0.4597,self_transition_down,2.8
417,base_llm_gpt35,0.2,5.0,2025-02-16_21-15-09,86.0,142.0,0.2866666666666667,72.0,0.4733333333333333,0.24,6.0,0.4598,self_transition_down,2.7
418,base_llm_gpt35,0.2,5.0,2025-02-16_21-17-54,95.0,128.0,0.3166666666666666,77.0,0.4266666666666667,0.2566666666666666,7.0,0.4597,self_transition_down,2.8
419,base_llm_llama3,0.2,5.0,2025-02-16_21-06-41,66.0,176.0,0.22,58.0,0.5866666666666667,0.1933333333333333,1.0,0.0,prev_outcome_prev_transition,14.6
420,base_llm_gpt35,0.2,5.0,2025-02-16_21-20-45,88.0,140.0,0.2933333333333333,72.0,0.4666666666666667,0.24,8.0,0.4595,self_transition_down,2.9
421,base_llm_gpt35,0.2,5.0,2025-02-16_21-23-40,97.0,143.0,0.3233333333333333,60.0,0.4766666666666667,0.2,9.0,0.4595,self_transition_down,3.0
422,base_llm_gpt35,0.2,5.0,2025-02-16_21-26-40,95.0,114.0,0.3166666666666666,91.0,0.38,0.3033333333333333,3.0,0.4599,prev_outcome_prev_transition,3.1
423,base_llm_gpt35,0.2,5.0,2025-02-16_21-29-46,97.0,117.0,0.3233333333333333,86.0,0.39,0.2866666666666667,4.0,0.4599,prev_outcome_prev_transition,2.8
